model,survey,obs_mean,llm_N,random_mean,random_N,p_value_two.sided,sig_two.sided,p_value_greater,sig_greater
claude-3-5-sonnet-20241022,ccps,0.37590732630082135,12,0.06729713084295605,12,3.712803551274409e-4,*,1.8564017756372045e-4,*
claude-3-5-sonnet-20241022,energy_futures,0.4695921034071393,12,-4.315370823208449e-4,12,7.174142320191586e-5,*,3.587071160095793e-5,*
claude-3-5-sonnet-20241022,zh_winterthur,0.5683773834212068,12,-0.09587337870649322,12,7.39602301050679e-7,*,3.698011505253395e-7,*
claude-3-7-sonnet-20250219,ccps,0.6819897939176788,12,0.06729713084295605,12,7.39602301050679e-7,*,3.698011505253395e-7,*
claude-3-7-sonnet-20250219,energy_futures,0.6173198252262835,12,-4.315370823208449e-4,12,1.479204602101358e-6,*,7.39602301050679e-7,*
claude-3-7-sonnet-20250219,zh_winterthur,0.5911666572307798,12,-0.09587337870649322,12,7.39602301050679e-7,*,3.698011505253395e-7,*
grok-3-beta,ccps,0.36058630938166353,12,0.06729713084295605,12,4.95533541703955e-4,*,2.477667708519775e-4,*
grok-3-beta,energy_futures,0.7103850788573549,12,-4.315370823208449e-4,12,1.479204602101358e-6,*,7.39602301050679e-7,*
grok-3-beta,zh_winterthur,0.7314191006220156,12,-0.09587337870649322,12,7.39602301050679e-7,*,3.698011505253395e-7,*
gemini-2.5-flash,ccps,0.8336695697348773,12,0.06729713084295605,12,7.39602301050679e-7,*,3.698011505253395e-7,*
gemini-2.5-flash,energy_futures,0.5166190484272811,12,-4.315370823208449e-4,12,2.743924536898019e-4,*,1.3719622684490096e-4,*
gemini-2.5-flash,zh_winterthur,0.6778375261971552,12,-0.09587337870649322,12,7.39602301050679e-7,*,3.698011505253395e-7,*
gpt-4o-mini,ccps,0.042742513384055984,12,0.06729713084295605,12,0.629725504001988,n.s.,0.7050621339893113,n.s.
gpt-4o-mini,energy_futures,-0.08999756147253585,12,-4.315370823208449e-4,12,0.10053044277031356,n.s.,0.9556331069657225,n.s.
gpt-4o-mini,zh_winterthur,-0.2190937132725122,12,-0.09587337870649322,12,0.5137225810936943,n.s.,0.7612123708839282,n.s.
gpt-3.5-turbo,ccps,-0.2532340171144098,12,0.06729713084295605,12,0.017271192934135458,*,0.992753746455456,n.s.
gpt-3.5-turbo,energy_futures,-0.28362839530769235,12,-4.315370823208449e-4,12,0.010044538850569273,*,0.9958534196991593,n.s.
gpt-3.5-turbo,zh_winterthur,-0.4205772412673938,12,-0.09587337870649322,12,0.010044538850569273,*,0.9958534196991593,n.s.
command-r-08-2024,ccps,-0.470917244045307,12,0.06729713084295605,12,5.177216107354753e-6,*,0.9999985207953979,n.s.
command-r-08-2024,energy_futures,-0.02452920152980844,12,-4.315370823208449e-4,12,0.79874533865649755,n.s.,0.6223575858789212,n.s.
command-r-08-2024,zh_winterthur,-0.9582444402856485,12,-0.09587337870649322,12,7.39602301050679e-7,*,1,n.s.
claude-3-haiku-20240307,ccps,-0.31059676617323756,12,0.06729713084295605,12,1.4422244870488242e-4,*,0.999948597640077,n.s.
claude-3-haiku-20240307,energy_futures,-0.3584219831871324,12,-4.315370823208449e-4,12,1.4422244870488242e-4,*,0.999948597640077,n.s.
claude-3-haiku-20240307,zh_winterthur,-0.6380549039634325,12,-0.09587337870649322,12,5.177216107354753e-6,*,0.9999985207953979,n.s.
